iter,x_prev,x_curr,x_new,%Et
1,0.0,2.0,1.0,0.13962038997193676
2,2.0,1.0,1.1428571428571428,0.016709017110784916
3,1.0,1.1428571428571428,1.1627906976744187,0.0004414070093759242
4,1.1428571428571428,1.1627906976744187,1.1622760800842993,1.359472124580663e-06
