iter,a0,b1,b0,error
1,-2.4285714285714284,-7.0,-6.0,7.0
2,-2.388235294117647,-3.5714285714285716,2.4705882352941178,8.470588235294118
3,-2.350010429871151,-3.611764705882353,2.512315270935961,0.0417270356418431
4,-2.314203829895927,-3.649989570128849,2.55318015772763,0.040864886791669
5,-2.281003963504712,-3.685796170104073,2.592684327322122,0.03950416959449221
6,-2.250494282986382,-3.718996036495288,2.6304206814183404,0.03773635409621834
7,-2.2226713733828003,-3.749505717013618,2.6660809784586803,0.035660297040339906
8,-2.1974645123255794,-3.7773286266171997,2.6994543916171847,0.033373413158504395
9,-2.174754320198275,-3.8025354876744206,2.730419520472798,0.030965128855613422
10,-2.154389119439642,-3.825245679801725,2.758932328251668,0.028512807778869664
11,-2.13619839510918,-3.845610880560358,2.7850122087325637,0.026079880480895934
12,-2.1200032902159474,-3.86380160489082,2.808727884889804,0.02371567615724013
13,-2.105624392043189,-3.8799967097840526,2.83018428683138,0.021456401941576164
14,-2.0928872192453487,-3.894375607956811,2.849511063166356,0.019326776334975815
15,-2.081625859783007,-3.9071127807546513,2.8668529984924245,0.017341935326068647
16,-2.07168518419336,-3.918374140216993,2.882362347586061,0.015509349093636438
17,-2.0629220014389755,-3.92831481580664,2.8961929378937876,0.013830590307726709
18,-2.0552054573889347,-3.9370779985610245,2.908495811191478,0.012302873297690198
19,-2.0484169110957495,-3.9447945426110653,2.9194161481172722,0.010920336925794416
20,-2.0424494672490376,-3.9515830889042505,2.929091225277207,0.009675077159934542
21,-2.0372072964273458,-3.9575505327509624,2.93764917869981,0.008557953422603237
22,-2.032604837831767,-3.9627927035726542,2.945208379393796,0.007559200693985968
23,-2.028565950886402,-3.967395162168233,2.951877260314089,0.006668880920293052
24,-2.025023060925355,-3.971434049113598,2.9577544656008055,0.005877205286716425
25,-2.0219163286707587,-3.974976939074645,2.962929220795263,0.0051747551944574255
26,-2.019192862036923,-3.9780836713292413,2.9674818462663586,0.004552625471095695
27,-2.016805980896312,-3.980807137963077,2.9714843553613375,0.004002509094978901
28,-2.0147145399620316,-3.983194019103688,2.975001094221999,0.0035167388606613947
29,-2.012882311223553,-3.9852854600379684,2.978089392313153,0.0030882980911539626
30,-2.0112774249234486,-3.987117688776447,2.980800202050975,0.0027108097378221174
31,-2.0098718665162547,-3.9887225750765514,2.9831787130153695,0.0023785109643945646
32,-2.0086410261372523,-3.9901281334837453,2.98526493154009,0.0020862185247203513
33,-2.0075632966336965,-3.9913589738627477,2.987094220383615,0.0018292888435249566
34,-2.0066197160333084,-3.9924367033663035,2.98869779601015,0.0016035756265351253
35,-2.0057936503444,-3.9933802839666916,2.990103183009094,0.0014053869989441026
36,-2.0050705127278223,-3.9942063496556,2.991334626555321,0.0012314435462270623
37,-2.0044375153033385,-3.9949294872721777,2.992413464720115,0.001078838164793705
38,-2.0038834501174967,-3.9955624846966615,2.9933584630060164,0.0009449982859015549
