iter,a,b,xr,f_xr
1,0.0,1.2,1.1538461538461537,-0.0532544378698232
2,1.1538461538461537,1.2,1.162227602905569,-0.0003165874220996123
3,1.162227602905569,1.2,1.1622773633734207,-1.8770960465985809e-06
4,1.1622773633734207,1.2,1.1622776584086636,-1.1129419608124635e-08
