iter,new_b,new_f(b)
1,-0.9,0.010000000000000009
2,-0.8,0.040000000000000036
3,-0.7000000000000001,0.08999999999999997
4,-0.6000000000000001,0.15999999999999992
5,-0.5000000000000001,0.2499999999999999
6,-0.40000000000000013,0.3599999999999999
7,-0.30000000000000016,0.48999999999999977
8,-0.20000000000000015,0.6399999999999998
9,-0.10000000000000014,0.8099999999999997
10,-1.3877787807814457e-16,0.9999999999999998
11,0.09999999999999987,1.2099999999999997
12,0.19999999999999987,1.4399999999999997
13,0.2999999999999999,1.6899999999999997
14,0.3999999999999999,1.9599999999999997
15,0.4999999999999999,2.2499999999999996
16,0.5999999999999999,2.5599999999999996
17,0.6999999999999998,2.8899999999999997
18,0.7999999999999998,3.2399999999999993
19,0.8999999999999998,3.6099999999999994
20,0.9999999999999998,3.999999999999999
21,1.0999999999999999,4.409999999999999
